Price History: SP50,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
07/01/24,"5,475.09",4228910130.84602,14.61,0.27,"11,939.38",154.84,"5,471.08","5,479.55","5,446.53"
06/28/24,"5,460.48",4228910130.84602,-22.39,-0.41,"11,907.15",154.15,"5,488.48","5,523.64","5,451.12"
06/27/24,"5,482.87",2488146131.24847,4.97,0.09,"11,954.50",155.16,"5,473.59","5,490.81","5,467.54"
06/26/24,"5,477.90",2606372873.94619,8.61,0.16,"11,943.53",154.93,"5,460.71","5,483.14","5,451.87"
06/25/24,"5,469.30",2655896478.95622,21.42,0.39,"11,924.75",154.52,"5,460.73","5,472.88","5,446.56"
06/24/24,"5,447.87",2821880120.99837,-16.75,-0.31,"11,878.04",153.53,"5,459.58","5,490.66","5,447.59"
06/21/24,"5,464.62",5431451372.52045,-8.55,-0.16,"11,913.78",154.29,"5,466.77","5,478.31","5,452.03"
06/20/24,"5,473.17",2968422485.5728,-13.86,-0.25,"11,931.80",154.67,"5,499.99","5,505.53","5,455.56"
06/18/24,"5,487.03",2510282815.16075,13.79,0.25,"11,961.93",155.32,"5,476.15","5,490.38","5,471.32"
06/17/24,"5,473.23",2474627701.73454,41.63,0.77,"11,931.48",154.67,"5,431.11","5,488.50","5,420.40"
06/14/24,"5,431.60",2285700109.61532,-2.14,-0.04,"11,839.27",152.70,"5,424.08","5,432.39","5,403.75"
06/13/24,"5,433.74",2458994183.19321,12.72,0.23,"11,841.02",152.74,"5,441.93","5,441.93","5,402.51"
06/12/24,"5,421.03",2749124903.656,45.71,0.85,"11,813.17",152.14,"5,409.13","5,447.25","5,409.13"
06/11/24,"5,375.32",2371284687.42943,14.53,0.27,"11,713.30",150.01,"5,353.00","5,375.95","5,327.25"
06/10/24,"5,360.79",2511823261.74736,13.80,0.26,"11,681.54",149.33,"5,341.22","5,365.79","5,331.52"
06/07/24,"5,346.99",2271705435.8902,-5.97,-0.11,"11,650.49",148.67,"5,343.81","5,375.08","5,331.33"
06/06/24,"5,352.96",2660338687.93201,-1.07,-0.02,"11,661.37",148.90,"5,357.80","5,362.35","5,335.36"
06/05/24,"5,354.03",2687217664.89601,62.69,1.18,"11,663.55",148.95,"5,314.48","5,354.16","5,297.64"
06/04/24,"5,291.34",2575805225.09575,7.94,0.15,"11,526.81",146.03,"5,278.24","5,298.80","5,257.63"
06/03/24,"5,283.40",2738294226.28403,5.89,0.11,"11,508.89",145.65,"5,297.15","5,302.11","5,234.32"
05/31/24,"5,277.51",4514280295.55511,42.03,0.80,"11,494.70",145.35,"5,243.21","5,280.33","5,191.68"
05/30/24,"5,235.48",2810298617.09212,-31.47,-0.60,"11,402.10",143.37,"5,259.77","5,260.21","5,222.10"
05/29/24,"5,266.95",2793306510.47897,-39.10,-0.74,"11,469.46",144.81,"5,278.73","5,282.27","5,262.70"
05/28/24,"5,306.04",2735098230.62134,1.33,0.03,"11,554.45",146.62,"5,315.91","5,315.91","5,280.89"
05/24/24,"5,304.72",2148152070.15991,36.88,0.70,"11,551.56",146.56,"5,281.45","5,311.65","5,278.39"
05/23/24,"5,267.84",3068007650.65956,-39.17,-0.74,"11,470.98",144.84,"5,340.26","5,341.88","5,256.93"
05/22/24,"5,307.01",2606265354.51698,-14.41,-0.27,"11,555.84",146.65,"5,319.28","5,323.18","5,286.01"
05/21/24,"5,321.41",2305105439.72683,13.28,0.25,"11,587.05",147.32,"5,298.69","5,324.32","5,297.87"
05/20/24,"5,308.13",2160274038.57802,4.86,0.09,"11,557.84",146.69,"5,305.35","5,325.32","5,302.40"
05/17/24,"5,303.27",2324801358.94871,6.17,0.12,"11,546.28",146.45,"5,303.10","5,305.45","5,283.59"
05/16/24,"5,297.10",2530095278.20778,-11.05,-0.21,"11,532.36",146.15,"5,310.07","5,325.49","5,296.19"
05/15/24,"5,308.15",2721894886.81221,61.47,1.17,"11,554.04",146.61,"5,263.26","5,311.76","5,263.26"
05/14/24,"5,246.68",2326722757.01523,25.26,0.48,"11,418.12",143.71,"5,221.10","5,250.37","5,217.98"
05/13/24,"5,221.42",2250092708.03642,-1.26,-0.02,"11,361.46",142.50,"5,233.08","5,237.26","5,211.16"
05/10/24,"5,222.68",2207903081.05278,8.59,0.16,"11,364.04",142.56,"5,225.49","5,239.66","5,209.68"
05/09/24,"5,214.08",2349430151.56746,26.41,0.51,"11,343.55",142.12,"5,189.03","5,215.30","5,180.41"
05/08/24,"5,187.67",2433324196.12694,-0.03,0.00,"11,283.91",140.85,"5,168.98","5,191.95","5,165.86"
05/07/24,"5,187.70",2796677170.3167,6.96,0.13,"11,283.96",140.85,"5,187.20","5,200.23","5,178.96"
05/06/24,"5,180.74",2563419864.23874,52.95,1.03,"11,268.23",140.51,"5,142.42","5,181.00","5,142.42"
05/03/24,"5,127.79",2847201481.9517,63.59,1.26,"11,152.76",138.05,"5,122.78","5,139.12","5,101.22"
05/02/24,"5,064.20",2988477032.67287,45.81,0.91,"11,013.91",135.08,"5,049.32","5,073.21","5,011.05"
05/01/24,"5,018.39",3425619317.42859,-17.31,-0.34,"10,914.11",132.95,"5,029.03","5,096.12","5,013.45"
04/30/24,"5,035.69",3153836077.55089,-80.48,-1.57,"10,951.66",133.75,"5,103.78","5,110.83","5,035.31"
04/29/24,"5,116.17",2731438092.09632,16.21,0.32,"11,126.28",137.48,"5,114.13","5,123.49","5,088.65"
04/26/24,"5,099.96",2934837592.95845,51.55,1.02,"11,090.46",136.72,"5,084.65","5,114.62","5,073.14"
04/25/24,"5,048.42",3146531778.24974,-23.21,-0.46,"10,978.20",134.32,"5,019.88","5,057.75","4,990.58"
