,Date,Price
0,2017-06-01,2430.06
1,2017-06-02,2439.07
2,2017-06-05,2436.1
3,2017-06-06,2429.33
4,2017-06-07,2433.14
5,2017-06-08,2433.79
6,2017-06-09,2431.77
7,2017-06-12,2429.39
8,2017-06-13,2440.35
9,2017-06-14,2437.92
10,2017-06-15,2432.46
11,2017-06-16,2433.15
12,2017-06-19,2453.46
13,2017-06-20,2437.03
14,2017-06-21,2435.61
15,2017-06-22,2434.5
16,2017-06-23,2438.3
17,2017-06-26,2439.07
18,2017-06-27,2419.38
19,2017-06-28,2440.69
20,2017-06-29,2419.7
21,2017-06-30,2423.41
22,2017-07-03,2429.01
23,2017-07-05,2432.54
24,2017-07-06,2409.75
25,2017-07-07,2425.18
26,2017-07-10,2427.43
27,2017-07-11,2425.53
28,2017-07-12,2443.25
29,2017-07-13,2447.83
30,2017-07-14,2459.27
31,2017-07-17,2459.14
32,2017-07-18,2460.61
33,2017-07-19,2473.83
34,2017-07-20,2473.45
35,2017-07-21,2472.54
36,2017-07-24,2469.91
37,2017-07-25,2477.13
38,2017-07-26,2477.83
39,2017-07-27,2475.42
40,2017-07-28,2472.1
41,2017-07-31,2470.3
42,2017-08-01,2476.35
43,2017-08-02,2477.57
44,2017-08-03,2472.16
45,2017-08-04,2476.83
46,2017-08-07,2480.91
47,2017-08-08,2474.92
48,2017-08-09,2474.02
49,2017-08-10,2438.21
50,2017-08-11,2441.32
51,2017-08-14,2465.84
52,2017-08-15,2464.61
53,2017-08-16,2468.11
54,2017-08-17,2430.01
55,2017-08-18,2425.55
56,2017-08-21,2428.37
57,2017-08-22,2452.51
58,2017-08-23,2444.04
59,2017-08-24,2438.97
60,2017-08-25,2443.05
61,2017-08-28,2444.24
62,2017-08-29,2446.3
63,2017-08-30,2457.59
64,2017-08-31,2471.65
65,2017-09-01,2476.55
66,2017-09-05,2457.85
67,2017-09-06,2465.54
68,2017-09-07,2465.1
69,2017-09-08,2461.43
70,2017-09-11,2488.11
71,2017-09-12,2496.48
72,2017-09-13,2498.37
73,2017-09-14,2495.62
74,2017-09-15,2500.23
75,2017-09-18,2503.87
76,2017-09-19,2506.65
77,2017-09-20,2508.24
78,2017-09-21,2500.6
79,2017-09-22,2502.22
80,2017-09-25,2496.66
81,2017-09-26,2496.84
82,2017-09-27,2507.04
83,2017-09-28,2510.06
84,2017-09-29,2519.36
85,2017-10-02,2529.12
86,2017-10-03,2534.58
87,2017-10-04,2537.74
88,2017-10-05,2552.07
89,2017-10-06,2549.33
90,2017-10-09,2544.73
91,2017-10-10,2550.64
92,2017-10-11,2555.24
93,2017-10-12,2550.93
94,2017-10-13,2553.17
95,2017-10-16,2557.64
96,2017-10-17,2559.36
97,2017-10-18,2561.26
98,2017-10-19,2562.1
99,2017-10-20,2575.21
